mz,rt,int,mzUncertainty,rtUncertainty,intUncertainty,dqs_cen,dqs_bin,dqs_peak
72.0173,415.469,3.27837e+07,4.20278e-06,0.268391,2.82446e+06,0.823559,0.648292,0.770831
75.0088,679.637,1.17361e+09,3.58569e-06,-28.8956,2.05446e+08,0.836119,0.999138,0.676084
77.9653,388.966,4.03278e+06,1.4747e-05,0.557407,455734,0.813646,0.99927,0.742724
84.0808,677.413,2.93711e+09,5.59968e-06,-8.40483,9.86501e+08,0.832974,0.998173,0.500299
84.0808,204.784,1.38957e+09,6.16203e-06,-6.4089,3.55358e+08,0.83113,0.998357,0.587632
87.0805,191.903,1.87999e+09,8.01488e-06,-2.02336,2.58099e+08,0.83594,0.998157,0.716887
87.0805,35.4477,9.63777e+08,6.69654e-06,0.674655,1.78768e+08,0.836635,0.997861,0.664713
97.076,683.651,8.7628e+09,4.36681e-06,-12.1617,1.30778e+09,0.833552,0.994443,0.704042
97.076,208.674,8.56559e+08,5.19568e-06,-5.02109,2.79584e+08,0.832863,0.996979,0.510502
98.0964,687.047,1.4993e+09,6.15027e-06,-3.358,1.67671e+08,0.833472,0.997583,0.743964
98.0964,200.113,4.24605e+08,8.34047e-06,-1.13195,2.46466e+07,0.832945,0.998155,0.799618
98.0965,37.7582,1.92193e+08,8.91024e-06,0.392467,5.01132e+07,0.828565,0.997373,0.582126
98.0965,88.5434,1.14573e+08,7.55205e-06,0.395555,9.38024e+06,0.828474,0.998352,0.775263
99.0917,194.501,1.61774e+08,1.58263e-05,-0.81879,1.07276e+07,0.826277,0.995346,0.791227
99.0917,698.951,7.37116e+08,5.32173e-06,-2.805,4.25941e+08,0.832916,0.982566,0.267704
99.0917,524.541,9.0124e+07,1.18683e-05,0.0645916,907090,0.810526,0.993601,0.846924
99.0917,501.184,2.63702e+08,6.8436e-06,1.5527,3.99806e+07,0.831886,0.994198,0.701486
113.107,683.327,2.69325e+09,5.58762e-06,-17.8739,9.02798e+08,0.837075,0.996483,0.501016
113.107,189.784,1.07013e+09,1.17404e-05,-18.9283,2.97247e+08,0.835689,0.996586,0.56345
113.107,101.161,2.02721e+08,1.34257e-05,0.970687,5.21858e+07,0.828862,0.99744,0.58577
114.091,692.785,1.2554e+09,5.94252e-06,-4.32636,3.8105e+08,0.835482,0.991258,0.535305
114.091,205.778,5.50332e+08,1.05196e-05,-6.88917,6.9741e+07,0.83136,0.991199,0.72817
114.091,29.6342,1.72097e+08,8.04533e-06,0.963139,1.79466e+07,0.833277,0.997995,0.751916
114.091,118.765,7.80223e+07,1.10941e-05,0.650934,9.97605e+06,0.830435,0.996903,0.726959
114.091,145.07,1.7922e+08,1.2282e-05,0.823381,2.12205e+07,0.834239,0.997316,0.737012
114.091,639.716,1.49218e+08,1.45956e-05,0.068719,5.30923e+06,0.830016,0.99604,0.822081
114.091,335.762,1.82403e+08,6.50062e-06,0.313724,1.04646e+07,0.832212,0.998079,0.800301
114.091,521.049,1.16947e+09,8.22416e-06,2.74768,4.22078e+08,0.832026,0.996841,0.473555
115.054,94.4069,1.81312e+08,9.83196e-06,0.310854,1.59513e+07,0.836279,0.643316,0.768941
117.008,415.226,3.81092e+07,1.62276e-05,0.258351,3.71998e+06,0.831195,0.868628,0.758903
125.107,688.302,2.10063e+09,6.67027e-06,-24.7064,1.2175e+09,0.833447,0.995627,0.266323
125.107,198.507,5.64568e+08,1.02411e-05,-4.8093,1.73251e+08,0.831037,0.996483,0.531667
125.107,125.016,6.17019e+07,2.43998e-05,0.080673,1.3983e+06,0.82462,0.997475,0.834753
125.107,408.317,1.59761e+09,8.7748e-06,2.17029,7.17245e+08,0.834527,0.996477,0.383293
127.123,200.667,7.55185e+08,1.11268e-05,-2.30277,1.11435e+08,0.833235,0.996649,0.705854
127.123,695.244,2.50707e+09,5.67444e-06,-12.8228,9.23219e+08,0.833215,0.996632,0.465797
128.107,687.523,1.8724e+09,6.05801e-06,-8.37949,1.57572e+08,0.834309,0.996633,0.772902
128.107,105.344,3.97234e+08,1.40491e-05,2.24097,4.48858e+07,0.827013,0.997361,0.742736
