mz,rt,int,mzUncertainty,rtUncertainty,intUncertainty,dqs_cen,dqs_bin,dqs_peak
100.051,779.755,2.79008e+07,5.08888e-06,0.640936,1.89336e+06,0.840501,0.677057,0.789648
100.213,842.999,1.7386e+07,6.53777e-06,0.278247,1.77207e+06,0.811792,0.795853,0.754389
100.402,1268.91,5.2339e+06,6.20766e-06,3.13528,1.29559e+06,0.83632,0.748693,0.596636
100.848,1022.1,1.24806e+08,1.27165e-05,1.16031,3.21791e+07,0.83846,0.832021,0.585323
101.194,990.32,2.27216e+07,3.88657e-06,0.114236,968826,0.838034,0.701532,0.81508
101.508,1385.85,3.08584e+06,3.51454e-06,0.498268,212208,0.82738,0.749108,0.788721
101.799,782.648,2.03554e+07,8.4309e-06,0.164462,1.9532e+06,0.775415,0.663572,0.760636
102.042,894.772,1.86287e+07,4.30267e-06,0.227575,2.08645e+06,0.842517,0.674368,0.743786
102.17,805.149,1.53245e+07,1.22958e-05,1.36662,1.54297e+06,0.840456,0.447831,0.755687
102.241,1453.75,2.2072e+06,3.56591e-06,0.378327,167201,0.839913,0.632603,0.781566
102.39,757.175,1.28018e+08,5.19713e-06,0.167049,1.13036e+07,0.83919,0.971666,0.768609
102.654,844.937,2.65821e+07,7.41107e-06,0.596547,2.93476e+06,0.831472,0.668332,0.745472
102.844,894.9,1.83164e+07,1.2316e-05,0.483102,1.57411e+06,0.832518,0.673759,0.771053
102.183,1065.73,4.65427e+07,1.59562e-05,0.44843,4.83576e+06,0.800696,0.56417,0.752317
103.192,1321.32,6.66263e+06,8.63464e-06,1.62113,1.20733e+06,0.827242,0.916664,0.66938
103.475,786.25,2.94086e+07,9.71758e-06,0.344665,1.8901e+06,0.825133,0.627781,0.793306
103.513,785.14,1.34195e+07,9.26662e-06,0.209721,1.47495e+06,0.823273,0.423603,0.745992
103.74,1088.19,1.07415e+08,5.86066e-06,0.0778972,4.26003e+06,0.79156,0.678923,0.818042
103.906,900.619,1.03465e+07,8.96351e-06,0.108945,306669,0.833524,0.507819,0.827932
104.63,842.125,2.61353e+07,9.56817e-06,1.73806,9.10528e+06,0.778286,0.999515,0.486887
